id,canonical_name,name,file_size,parent_id,part_type
116,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\A\AB56\AB562C49-E584-43FF-9FA3-3F4EA2ADF0BE-d50c20c1ab90a58022c1cbeae3328d75.lrprev,AB562C49-E584-43FF-9FA3-3F4EA2ADF0BE-d50c20c1ab90a58022c1cbeae3328d75.lrprev,2315472,115,2
998,D:\Data\Dev\GoldCoast\GCA\gca-app-web.bak\bower_components\angular-material\modules,modules,782,997,1
1164,D:\Data\Temp\src\Applications\G2.Tivo\Reference\mindrpc,mindrpc,290,468,1
201,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup,Beetlejuice Backup,10081531,200,1
428,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\1\18F2\18F2B48F-DA8F-4D0C-BFF6-4D4230409A8D-676a68e9f84fa584f203c2c045bb373d.lrprev,18F2B48F-DA8F-4D0C-BFF6-4D4230409A8D-676a68e9f84fa584f203c2c045bb373d.lrprev,8484192,427,2
1831,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\2\2A68,2A68,422304,1345,1
1788,D:\Data\Dev\Archive\GWG\GWG.Tivo\Backup\VS10\.hg\store\data\_g_w_g._tivo._data\_model\_tivo_model.cs.i,_tivo_model.cs.i,273,1787,2
680,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018\bak\bak.7-1-2017\cirrusCT.com\src\portfolio-single-gallery-fullwidth-left-sidebar.html,portfolio-single-gallery-fullwidth-left-sidebar.html,66612,679,2
849,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\8\8E5A\8E5A2F72-C7C4-4ACE-8335-3B54F8A0484E-07cc63f155500a902b21fef7be6585b5.lrprev,8E5A2F72-C7C4-4ACE-8335-3B54F8A0484E-07cc63f155500a902b21fef7be6585b5.lrprev,14848,848,2
230,D:\Music\Karaoke\Clean\Misc\Random Collection\Alan Parsons Project - Don't Answer Me.cdg,Alan Parsons Project - Don't Answer Me.cdg,2015904,62,2
237,D:\Data\Temp\adt-bundle-windows-x86_64-20131030\adt-bundle-windows-x86_64-20131030\sdk\extras\android,android,1449,236,1
1510,"D:\Music\Karaoke\Originals\Misc\my karaoke collection part 8 (HIJK)\Knight, Jean - Mr. Big Stuff.cdg","Knight, Jean - Mr. Big Stuff.cdg",1307040,1509,2
1252,D:\Music\Karaoke\Originals\Ripped\Supercore\SPC29\SPC29-19 - Sylia - Nobody.cdg,SPC29-19 - Sylia - Nobody.cdg,1528032,1251,2
233,D:\Data\Temp\adt-bundle-windows-x86_64-20131030,adt-bundle-windows-x86_64-20131030,6079,232,1
1534,D:\Data\Dev\External\taglib-sharp-2.1.0.0-windows\taglib-sharp-2.1.0.0-windows\src\TagLib,TagLib,11521,1533,1
934,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup\Save\Old Drive\From Fester\Digital Pictures,Digital Pictures,5716223,624,1
1848,D:\Data\Dev\Scratch\Archive\MusicStore-1.0.0-beta4\src\MusicStore.Spa\ng-apps,ng-apps,1098,1847,1
1511,D:\Archive\Archive From Hulk\Dev\Dev\Samples\AlbumArtAggregator,AlbumArtAggregator,1308,1061,1
351,D:\Data\Dev\Archive\ckgentry.com\drupal-7.0-alpha6.1\includes\file.inc,file.inc,72133,350,2
1512,D:\Archive\Archive From Hulk\Dev\Dev\Samples\AlbumArtAggregator\MediaArtAggregator.SearchProvider,MediaArtAggregator.SearchProvider,1308,1511,1
1208,D:\Archive\Archive From Hulk\Users\Gary\Avanade\Projects\InteropDemo\POC\dotNet\RailInc.POC.Web,RailInc.POC.Web,105995,1207,1
